Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
83;5800185422;"Theory and Research in Social Education";journal;"00933104, 21631654";"Taylor and Francis Ltd.";No;No;1,561;Q1;52;20;64;2022;233;61;3,78;101,10;44,74;1;6;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1973-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
84;5400152621;"Sustainability Science";journal;"18624065, 18624057";"Springer";No;No;1,535;Q1;96;169;387;12482;2900;369;6,47;73,86;46,34;56;124;Japan;Asiatic Region;"Springer";"2006-2025";"Ecology (Q1); Geography, Planning and Development (Q1); Global and Planetary Change (Q1); Health (social science) (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
85;18676;"Technology in Society";journal;"0160791X";"Elsevier Ltd";No;No;1,491;Q1;112;305;634;25018;6044;634;9,69;82,03;38,59;46;179;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Business and International Management (Q1); Education (Q1); Human Factors and Ergonomics (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
86;29170;"Critical Perspectives on Accounting";journal;"10452354, 10959955";"Academic Press";No;No;1,483;Q1;91;52;122;4549;506;112;3,85;87,48;43,88;3;21;United States;Northern America;"Academic Press";"1990-2025";"Accounting (Q1); Finance (Q1); Information Systems and Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
87;18130;"Sociology";journal;"00380385, 14698684";"SAGE Publications Ltd";No;No;1,482;Q1;138;68;195;3631;822;194;3,40;53,40;60,50;12;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1967-2025";"Sociology and Political Science (Q1)";"Social Sciences"
88;25772;"International Affairs";journal;"14682346, 00205850";"Wiley-Blackwell";No;No;1,460;Q1;104;96;233;9106;1015;224;4,46;94,85;46,56;30;24;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
89;21100779233;"Journal of Racial and Ethnic Health Disparities";journal;"21968837, 21973792";"Springer Science and Business Media Deutschland GmbH";No;No;1,453;Q1;56;240;434;11369;1686;434;4,20;47,37;61,05;47;199;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2014-2025";"Anthropology (Q1); Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
90;21100888814;"Journal of Race, Ethnicity and Politics";journal;"20566085";"Cambridge University Press";No;No;1,452;Q1;19;27;60;1465;118;56;1,43;54,26;39,13;4;7;United Kingdom;Western Europe;"Cambridge University Press";"2016-2025";"Anthropology (Q1); Sociology and Political Science (Q1)";"Social Sciences"
91;14000156253;"Regulation and Governance";journal;"17485983, 17485991";"Wiley-Blackwell Publishing Ltd";No;No;1,449;Q1;63;77;164;5946;616;162;3,39;77,22;37,16;37;39;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
92;29102;"Health and Place";journal;"18732054, 13538292";"Elsevier Ltd";No;No;1,448;Q1;144;177;528;12083;2868;519;4,86;68,27;58,26;29;119;United Kingdom;Western Europe;"Elsevier Ltd";"1995-2025";"Geography, Planning and Development (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
93;21101077293;"Journal of Migration and Health";journal;"26666235";"Elsevier B.V.";Yes;No;1,445;Q1;21;66;72;3162;356;72;4,94;47,91;57,19;11;49;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Demography (Q1); Health (social science) (Q1); Infectious Diseases (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
94;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";"Wiley-Blackwell";No;No;1,430;Q1;66;34;79;1631;166;78;1,50;47,97;26,03;4;7;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
95;19089;"Government and Opposition";journal;"0017257X, 14777053";"Cambridge University Press";No;No;1,410;Q1;68;36;103;2415;325;103;3,28;67,08;20,00;10;6;United Kingdom;Western Europe;"Cambridge University Press";"1965-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
96;144973;"Men and Masculinities";journal;"1097184X";"SAGE Publications Inc.";No;No;1,397;Q1;77;39;144;2093;489;136;2,73;53,67;59,15;0;27;United States;Northern America;"SAGE Publications Inc.";"1998-2024";"Gender Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
97;19250;"Work and Occupations";journal;"07308884, 15528464";"SAGE Publications Inc.";No;No;1,388;Q1;84;13;44;1001;148;44;2,52;77,00;70,37;9;10;United States;Northern America;"SAGE Publications Inc.";"1974-2025";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
98;5700166179;"Politics and Gender";journal;"1743923X, 17439248";"Cambridge University Press";No;No;1,359;Q1;59;38;135;2707;402;134;3,24;71,24;76,39;0;32;United Kingdom;Western Europe;"Cambridge University Press";"2005-2025";"Gender Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
99;22857;"Political Geography";journal;"09626298";"Elsevier B.V.";No;No;1,354;Q1;120;219;401;15309;1538;363;3,99;69,90;43,05;31;100;United Kingdom;Western Europe;"Elsevier B.V.";"1983, 1992-2025";"Geography, Planning and Development (Q1); History (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
100;28611;"Geoforum";journal;"00167185";"Elsevier B.V.";No;No;1,351;Q1;151;230;824;19019;3364;781;3,74;82,69;46,28;32;143;United Kingdom;Western Europe;"Elsevier B.V.";"1970-2025";"Sociology and Political Science (Q1)";"Social Sciences"
101;21100899442;"Comparative Migration Studies";journal;"2214594X";"SpringerOpen";Yes;No;1,340;Q1;39;47;149;2692;579;125;3,22;57,28;52,83;12;31;Switzerland;Western Europe;"SpringerOpen";"2013-2025";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
102;15559;"American Politics Research";journal;"15523373, 1532673X";"SAGE Publications Inc.";No;No;1,334;Q1;66;66;170;3195;364;170;1,72;48,41;28,26;0;19;United States;Northern America;"SAGE Publications Inc.";"1973-2025";"Sociology and Political Science (Q1)";"Social Sciences"
103;15673;"Journal of Rural Studies";journal;"07430167";"Elsevier Ltd";No;No;1,316;Q1;146;295;738;21851;4328;733;5,28;74,07;47,73;57;218;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
104;19088;"Governance";journal;"09521895, 14680491";"Wiley-Blackwell Publishing Ltd";No;No;1,305;Q1;99;59;147;3486;541;147;2,97;59,08;36,80;12;31;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1988-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
105;22762;"Policy and Politics";journal;"03055736, 14708442";"Policy Press";No;No;1,295;Q1;72;32;97;2260;478;97;5,54;70,63;51,47;2;17;United Kingdom;Western Europe;"Policy Press";"1979-2025";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
106;14230;"Cultural Diversity and Ethnic Minority Psychology";journal;"10999809, 19390106";"American Psychological Association";No;No;1,293;Q1;106;83;223;5049;833;223;3,39;60,83;73,48;4;44;United States;Northern America;"American Psychological Association";"1999-2025";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
107;29849;"Journal of Accounting and Public Policy";journal;"18732070, 02784254";"Elsevier Inc.";No;No;1,260;Q1;96;55;112;3526;391;109;3,10;64,11;35,48;3;14;United States;Northern America;"Elsevier Inc.";"1982-2025";"Accounting (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
108;22773;"Policy Sciences";journal;"00322687, 15730891";"Springer Netherlands";No;No;1,256;Q1;78;34;104;2728;504;103;4,95;80,24;44,57;7;13;Netherlands;Western Europe;"Springer Netherlands";"1970-2025";"Development (Q1); Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
109;30084;"Journal of Sex Research";journal;"00224499, 15598519";"Taylor and Francis Ltd.";No;No;1,250;Q1;139;101;304;6925;1253;299;3,79;68,56;58,82;6;51;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1965-2025";"Gender Studies (Q1); History and Philosophy of Science (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
110;13857;"Housing, Theory and Society";journal;"16512278, 14036096";"Taylor and Francis Ltd.";No;No;1,249;Q1;60;36;102;1819;349;96;3,29;50,53;49,25;8;27;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2025";"Development (Q1); Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
111;16032;"Administration and Society";journal;"00953997, 15523039";"SAGE Publications Inc.";No;No;1,238;Q1;80;77;189;5437;626;175;2,41;70,61;36,09;12;35;United States;Northern America;"SAGE Publications Inc.";"1969-2025";"Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
112;17497;"British Journal of Sociology";journal;"00071315, 14684446";"Wiley-Blackwell Publishing Ltd";No;No;1,231;Q1;117;58;251;3548;681;227;2,28;61,17;45,28;10;28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-1977, 1979-1984, 1987-2025";"Sociology and Political Science (Q1)";"Social Sciences"
113;19400158571;"Race and Social Problems";journal;"18671748, 18671756";"Springer Verlag";No;No;1,218;Q1;41;25;77;1762;244;76;2,81;70,48;64,10;4;17;Germany;Western Europe;"Springer Verlag";"2009-2025";"Anthropology (Q1); Sociology and Political Science (Q1)";"Social Sciences"
114;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";"Oxford University Press";No;No;1,216;Q1;78;43;94;2531;407;86;4,19;58,86;37,11;9;26;United Kingdom;Western Europe;"Oxford University Press";"2008-2025";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
115;5700162364;"Journal of European Integration";journal;"07036337, 14772280";"Routledge";No;No;1,209;Q1;57;64;196;3276;686;195;3,83;51,19;39,25;20;18;United Kingdom;Western Europe;"Routledge";"1977-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
116;25987;"Social Networks";journal;"03788733";"Elsevier B.V.";No;No;1,203;Q1;120;98;160;6828;609;160;3,71;69,67;31,75;3;24;Netherlands;Western Europe;"Elsevier B.V.";"1978-2025";"Anthropology (Q1); Psychology (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
117;5700161511;"Social Movement Studies";journal;"14742837";"Routledge";No;No;1,195;Q1;49;48;128;2489;462;126;4,01;51,85;41,86;9;16;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
118;18699;"Theory, Culture and Society";journal;"02632764, 14603616";"SAGE Publications Ltd";No;No;1,193;Q1;136;68;187;3452;602;185;2,04;50,76;22,50;3;7;United Kingdom;Western Europe;"SAGE Publications Ltd";"1982-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
119;17409;"Poetics";journal;"0304422X";"Elsevier B.V.";No;No;1,173;Q1;82;81;156;5453;394;153;2,41;67,32;48,98;6;22;Netherlands;Western Europe;"Elsevier B.V.";"1971-2025";"Communication (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
120;23715;"Science Technology and Human Values";journal;"01622439, 15528251";"SAGE Publications Inc.";No;No;1,170;Q1;96;59;146;2980;610;139;3,83;50,51;52,50;8;18;United States;Northern America;"SAGE Publications Inc.";"1976-2025";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
121;27364;"Population and Development Review";journal;"17284457, 00987921";"Wiley-Blackwell Publishing Ltd";No;No;1,169;Q1;122;48;131;2397;372;109;2,45;49,94;53,52;17;26;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2025";"Demography (Q1); Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
122;26441;"Social Science Research";journal;"10960317, 0049089X";"Academic Press Inc.";No;No;1,156;Q1;118;91;276;7830;795;276;2,38;86,04;44,98;21;51;United States;Northern America;"Academic Press Inc.";"1972-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
123;4000149603;"Political Studies Review";journal;"14789299, 14789302";"SAGE Publications Ltd";No;No;1,154;Q1;45;56;127;2263;414;122;2,70;40,41;19,35;8;20;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
124;13448;"Comparative Politics";journal;"00104159, 21516227";"City University of New York";No;No;1,146;Q1;78;11;73;887;152;72;1,47;80,64;11,11;0;0;United States;Northern America;"City University of New York";"1978, 1987-1989, 1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
125;26587;"Studies in Comparative International Development";journal;"00393606, 19366167";"Springer New York";No;No;1,140;Q1;64;22;69;1250;209;69;2,77;56,82;38,24;1;13;United States;Northern America;"Springer New York";"1965-1970, 1972-2025";"Development (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
126;23464;"China Journal";journal;"18358535, 13249347";"University of Chicago Press";No;No;1,136;Q1;60;11;34;0;107;29;3,32;0,00;33,33;1;3;Australia;Pacific Region;"University of Chicago Press";"1995-2024";"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Social Sciences"
127;29643;"Urban Affairs Review";journal;"10780874";"SAGE Publications Inc.";No;No;1,128;Q1;88;58;182;3997;501;177;2,50;68,91;37,25;9;35;United States;Northern America;"SAGE Publications Inc.";"1965-2025";"Sociology and Political Science (Q1); Urban Studies (Q1)";"Social Sciences"
128;22223;"Forest Policy and Economics";journal;"13899341";"Elsevier B.V.";No;No;1,124;Q1;92;135;590;10069;2613;521;4,48;74,59;36,38;28;121;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Economics and Econometrics (Q1); Forestry (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
